시간,건설공사비지수,기준금리,집값 변동률,스트레스 DSR,핵심규제지역,매수우위지수,"M2(평잔,계절조정계열)",가계대출,미분양 현황,건설공사비지수_lag1,건설공사비지수_lag2,건설공사비지수_lag3,기준금리_lag1,기준금리_lag2,기준금리_lag3,집값 변동률_lag1,집값 변동률_lag2,집값 변동률_lag3,스트레스 DSR_lag1,스트레스 DSR_lag2,스트레스 DSR_lag3,핵심규제지역_lag1,핵심규제지역_lag2,핵심규제지역_lag3,매수우위지수_lag1,매수우위지수_lag2,매수우위지수_lag3,"M2(평잔,계절조정계열)_lag1","M2(평잔,계절조정계열)_lag2","M2(평잔,계절조정계열)_lag3",가계대출_lag1,가계대출_lag2,가계대출_lag3,미분양 현황_lag1,미분양 현황_lag2,미분양 현황_lag3
14-Jan,84.53,2.5,0.37,0.0,0.0,48.4,1799846.9,685180.7,40379.0,84.53,84.53,84.53,2.5,2.5,2.5,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,48.4,48.4,48.4,1799846.9,1799846.9,1799846.9,685180.7,685180.7,685180.7,40379.0,40379.0,40379.0
14-Feb,84.53,2.5,0.31,0.0,0.0,58.1,1814781.0,688137.3,40379.0,84.53,84.53,84.53,2.5,2.5,2.5,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,48.4,48.4,48.4,1799846.9,1799846.9,1799846.9,685180.7,685180.7,685180.7,40379.0,40379.0,40379.0
14-Mar,85.03,2.5,0.36,0.0,0.0,60.3,1826090.4,690570.9,40379.0,84.53,84.53,84.53,2.5,2.5,2.5,0.31,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,58.1,48.4,48.4,1814781.0,1799846.9,1799846.9,688137.3,685180.7,685180.7,40379.0,40379.0,40379.0
14-Apr,85.05,2.5,0.12,0.0,0.0,48.6,1830800.0,695539.1,40379.0,85.03,84.53,84.53,2.5,2.5,2.5,0.36,0.31,0.37,0.0,0.0,0.0,0.0,0.0,0.0,60.3,58.1,48.4,1826090.4,1814781.0,1799846.9,690570.9,688137.3,685180.7,40379.0,40379.0,40379.0
14-May,84.84,2.5,0.04,0.0,0.0,44.4,1847499.7,699317.6,40379.0,85.05,85.03,84.53,2.5,2.5,2.5,0.12,0.36,0.31,0.0,0.0,0.0,0.0,0.0,0.0,48.6,60.3,58.1,1830800.0,1826090.4,1814781.0,695539.1,690570.9,688137.3,40379.0,40379.0,40379.0
14-Jun,84.55,2.5,0.04,0.0,0.0,43.3,1858233.6,705225.9,40379.0,84.84,85.05,85.03,2.5,2.5,2.5,0.04,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.0,44.4,48.6,60.3,1847499.7,1830800.0,1826090.4,699317.6,695539.1,690570.9,40379.0,40379.0,40379.0
14-Jul,84.57,2.5,0.08,0.0,0.0,43.9,1869730.2,710954.9,40379.0,84.55,84.84,85.05,2.5,2.5,2.5,0.04,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,43.3,44.4,48.6,1858233.6,1847499.7,1830800.0,705225.9,699317.6,695539.1,40379.0,40379.0,40379.0
14-Aug,84.57,2.25,0.15,0.0,0.0,52.6,1891814.7,717236.0,40379.0,84.57,84.55,84.84,2.5,2.5,2.5,0.08,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,43.9,43.3,44.4,1869730.2,1858233.6,1847499.7,710954.9,705225.9,699317.6,40379.0,40379.0,40379.0
14-Sep,85.65,2.25,0.37,0.0,0.0,72.0,1901679.4,722884.9,40379.0,84.57,84.57,84.55,2.25,2.5,2.5,0.15,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,52.6,43.9,43.3,1891814.7,1869730.2,1858233.6,717236.0,710954.9,705225.9,40379.0,40379.0,40379.0
14-Oct,85.5,2.0,0.36,0.0,0.0,69.3,1912477.6,730645.4,40379.0,85.65,84.57,84.57,2.25,2.25,2.5,0.37,0.15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,72.0,52.6,43.9,1901679.4,1891814.7,1869730.2,722884.9,717236.0,710954.9,40379.0,40379.0,40379.0
